Epoch: [29][2080/2689], lr: 0.00001	Time 5.840 (5.324)	Data 5.519 (4.986)	Loss 1.8987 (1.9840)	Prec@1 62.500 (49.087)	Prec@5 81.250 (76.907)
Epoch: [29][2100/2689], lr: 0.00001	Time 5.391 (5.327)	Data 5.058 (4.989)	Loss 1.3263 (1.9844)	Prec@1 65.625 (49.048)	Prec@5 90.625 (76.913)
Epoch: [29][2120/2689], lr: 0.00001	Time 6.099 (5.334)	Data 5.771 (4.996)	Loss 1.7388 (1.9854)	Prec@1 62.500 (49.028)	Prec@5 75.000 (76.893)
Epoch: [29][2140/2689], lr: 0.00001	Time 5.233 (5.336)	Data 4.907 (4.999)	Loss 2.2320 (1.9857)	Prec@1 46.875 (49.006)	Prec@5 65.625 (76.880)
Epoch: [29][2160/2689], lr: 0.00001	Time 5.532 (5.344)	Data 5.213 (5.006)	Loss 2.1895 (1.9862)	Prec@1 50.000 (49.002)	Prec@5 68.750 (76.855)
Epoch: [29][2180/2689], lr: 0.00001	Time 5.454 (5.347)	Data 5.130 (5.009)	Loss 1.4404 (1.9874)	Prec@1 62.500 (48.976)	Prec@5 90.625 (76.841)
Epoch: [29][2200/2689], lr: 0.00001	Time 5.472 (5.350)	Data 5.142 (5.012)	Loss 2.1962 (1.9872)	Prec@1 37.500 (48.971)	Prec@5 78.125 (76.849)
Epoch: [29][2220/2689], lr: 0.00001	Time 5.680 (5.353)	Data 5.350 (5.016)	Loss 2.2045 (1.9878)	Prec@1 43.750 (48.971)	Prec@5 68.750 (76.829)
Epoch: [29][2240/2689], lr: 0.00001	Time 6.447 (5.358)	Data 6.122 (5.020)	Loss 1.6920 (1.9887)	Prec@1 53.125 (48.935)	Prec@5 81.250 (76.807)
Epoch: [29][2260/2689], lr: 0.00001	Time 6.278 (5.361)	Data 5.956 (5.024)	Loss 1.8255 (1.9882)	Prec@1 50.000 (48.945)	Prec@5 84.375 (76.823)
Epoch: [29][2280/2689], lr: 0.00001	Time 5.155 (5.363)	Data 4.820 (5.026)	Loss 1.7385 (1.9878)	Prec@1 46.875 (48.959)	Prec@5 84.375 (76.808)
