Epoch: [1][1040/1345], lr: 0.00100	Time 1.532 (1.661)	Data 1.308 (1.439)	Loss 4.2310 (4.2611)	Prec@1 9.375 (10.645)	Prec@5 28.125 (28.565)
Epoch: [1][1060/1345], lr: 0.00100	Time 1.924 (1.661)	Data 1.704 (1.439)	Loss 4.1508 (4.2591)	Prec@1 10.938 (10.693)	Prec@5 26.562 (28.602)
Epoch: [1][1080/1345], lr: 0.00100	Time 1.670 (1.661)	Data 1.454 (1.438)	Loss 4.0518 (4.2560)	Prec@1 12.500 (10.711)	Prec@5 31.250 (28.631)
Epoch: [1][1100/1345], lr: 0.00100	Time 1.691 (1.660)	Data 1.464 (1.437)	Loss 4.2483 (4.2539)	Prec@1 10.938 (10.729)	Prec@5 23.438 (28.704)
Epoch: [1][1120/1345], lr: 0.00100	Time 1.495 (1.660)	Data 1.279 (1.437)	Loss 4.1237 (4.2522)	Prec@1 10.938 (10.744)	Prec@5 29.688 (28.733)
Epoch: [1][1140/1345], lr: 0.00100	Time 2.021 (1.660)	Data 1.797 (1.437)	Loss 4.1486 (4.2491)	Prec@1 17.188 (10.809)	Prec@5 37.500 (28.818)
Epoch: [1][1160/1345], lr: 0.00100	Time 1.523 (1.660)	Data 1.296 (1.437)	Loss 4.6310 (4.2468)	Prec@1 12.500 (10.857)	Prec@5 21.875 (28.872)
Epoch: [1][1180/1345], lr: 0.00100	Time 1.809 (1.660)	Data 1.588 (1.437)	Loss 4.0356 (4.2442)	Prec@1 10.938 (10.895)	Prec@5 23.438 (28.931)
Epoch: [1][1200/1345], lr: 0.00100	Time 1.517 (1.660)	Data 1.303 (1.437)	Loss 3.8973 (4.2415)	Prec@1 18.750 (10.948)	Prec@5 34.375 (29.012)
Epoch: [1][1220/1345], lr: 0.00100	Time 1.643 (1.660)	Data 1.428 (1.438)	Loss 3.8726 (4.2387)	Prec@1 18.750 (10.978)	Prec@5 39.062 (29.077)
Epoch: [1][1240/1345], lr: 0.00100	Time 1.991 (1.661)	Data 1.761 (1.439)	Loss 4.0473 (4.2369)	Prec@1 9.375 (10.992)	Prec@5 28.125 (29.106)
Epoch: [1][1260/1345], lr: 0.00100	Time 1.531 (1.661)	Data 1.310 (1.438)	Loss 3.7734 (4.2334)	Prec@1 23.438 (11.033)	Prec@5 42.188 (29.198)
Epoch: [1][1280/1345], lr: 0.00100	Time 1.644 (1.661)	Data 1.427 (1.439)	Loss 4.7460 (4.2307)	Prec@1 4.688 (11.073)	Prec@5 18.750 (29.286)
Epoch: [1][1300/1345], lr: 0.00100	Time 1.982 (1.662)	Data 1.770 (1.440)	Loss 4.0823 (4.2283)	Prec@1 10.938 (11.107)	Prec@5 28.125 (29.349)
Epoch: [1][1320/1345], lr: 0.00100	Time 1.704 (1.662)	Data 1.489 (1.440)	Loss 4.3434 (4.2257)	Prec@1 9.375 (11.139)	Prec@5 28.125 (29.391)
Epoch: [1][1340/1345], lr: 0.00100	Time 1.682 (1.663)	Data 1.457 (1.441)	Loss 4.0258 (4.2226)	Prec@1 9.375 (11.178)	Prec@5 34.375 (29.481)
Test: [0/181]	Time 1.140 (1.140)	Loss 4.1803 (4.1803)	Prec@1 17.188 (17.188)	Prec@5 29.688 (29.688)
Test: [20/181]	Time 0.565 (0.612)	Loss 3.9175 (4.1246)	Prec@1 9.375 (11.830)	Prec@5 35.938 (32.366)
